,第１位,,第２位,,第３位,,第４位,,第５位,,第６位,,第７位,,第８位,,第９位,,第１０位,
1951,脳血管疾患,125.2,全結核,110.3,肺炎及び気管支炎,82.2,悪性新生物,78.5,老衰,70.7,胃腸炎,67.7,心疾患,63.6,その他の新生児固有の疾患,56,不慮の事故,37.8,腎炎及びネフローゼ,29.2
1952,脳血管疾患,128.5,全結核,82.2,悪性新生物,80.9,老衰,69.3,肺炎及び気管支炎,67.1,心疾患,61.3,胃腸炎,53.1,その他の新生児固有の疾患,47.3,不慮の事故,36.4,腎炎及びネフローゼ,25.8
1953,脳血管疾患,133.7,悪性新生物,82.2,老衰,77.6,肺炎及び気管支炎,71.3,全結核,66.5,心疾患,64.9,胃腸炎,46.1,その他の新生児固有の疾患,42.1,不慮の事故,39.3,腎炎及びネフローゼ,23.2
1954,脳血管疾患,132.4,悪性新生物,85.3,老衰,69.5,全結核,62.4,心疾患,60.2,肺炎及び気管支炎,54.7,不慮の事故,39.4,胃腸炎,39,その他の新生児固有の疾患,36.2,自殺,23.4
1955,脳血管疾患,136.1,悪性新生物,87.1,老衰,67.1,心疾患,60.9,全結核,52.3,肺炎及び気管支炎,48.3,不慮の事故,37.3,胃腸炎,31.7,その他の新生児固有の疾患,31.4,自殺,25.2
1956,脳血管疾患,148.4,悪性新生物,90.7,老衰,75.8,心疾患,66,全結核,48.6,肺炎及び気管支炎,48.4,不慮の事故,36.8,その他の新生児固有の疾患,30.5,胃腸炎,30,自殺,24.5
1957,脳血管疾患,151.7,悪性新生物,91.3,老衰,80.5,心疾患,73.1,肺炎及び気管支炎,59.2,全結核,46.9,不慮の事故,37.9,その他の新生児固有の疾患,26.4,胃腸炎,25.7,自殺,24.3
1958,脳血管疾患,148.6,悪性新生物,95.5,心疾患,64.8,老衰,55.5,肺炎及び気管支炎,47.6,全結核,39.4,不慮の事故,38.9,自殺,25.7,胃腸炎,25.1,その他の新生児固有の疾患,23.4
1959,脳血管疾患,153.7,悪性新生物,98.2,心疾患,67.7,老衰,56.7,肺炎及び気管支炎,45.2,不慮の事故,44.8,全結核,35.5,胃腸炎,23.3,自殺,22.7,その他の新生児固有の疾患,21
1960,脳血管疾患,160.7,悪性新生物,100.4,心疾患,73.2,老衰,58,肺炎及び気管支炎,49.3,不慮の事故,41.7,全結核,34.2,自殺,21.6,胃腸炎,21.2,その他の新生児固有の疾患,18.5
1961,脳血管疾患,165.4,悪性新生物,102.3,心疾患,72.1,老衰,58.2,不慮の事故,44.1,肺炎及び気管支炎,41.6,全結核,29.6,自殺,19.6,胃腸炎,19.5,その他の新生児固有の疾患,17.4
1962,脳血管疾患,169.4,悪性新生物,103.2,心疾患,76.2,老衰,57.5,肺炎及び気管支炎,45,不慮の事故,40.3,全結核,29.3,高血圧性疾患,18.4,胃腸炎,18,自殺,17.6
1963,脳血管疾患,171.4,悪性新生物,105.5,心疾患,70.4,老衰,50.4,不慮の事故,41.3,肺炎及び気管支炎,33.2,全結核,24.2,高血圧性疾患,18.2,自殺,16.1,胃腸炎,16.1
1964,脳血管疾患,171.7,悪性新生物,107.3,心疾患,70.3,老衰,48.4,不慮の事故,41.6,肺炎及び気管支炎,32.1,全結核,23.6,高血圧性疾患,18.7,自殺,15.1,胃腸炎,14.6
1965,脳血管疾患,175.8,悪性新生物,108.4,心疾患,77,老衰,50,不慮の事故,40.9,肺炎及び気管支炎,37.3,全結核,22.8,高血圧性疾患,19.3,自殺,14.7,胃腸炎,12.9
1966,脳血管疾患,173.8,悪性新生物,110.9,心疾患,71.9,老衰,44.6,不慮の事故,43,肺炎及び気管支炎,28.2,全結核,20.3,高血圧性疾患,18.6,自殺,15.2,胃腸炎,11.3
1967,脳血管疾患,173.1,悪性新生物,113,心疾患,75.7,老衰,43.3,不慮の事故,41.9,肺炎及び気管支炎,28.7,高血圧性疾患,18.3,全結核,17.8,自殺,14.2,その他の新生児固有の疾患,11.4
1968,脳血管疾患,173.5,悪性新生物,114.6,心疾患,80.2,不慮の事故,40.2,老衰,39.4,肺炎及び気管支炎,31.8,高血圧性疾患,17.9,全結核,16.8,自殺,14.5,肝硬変,11.2
1969,脳血管疾患,174.4,悪性新生物,116.2,心疾患,81.7,不慮の事故,42.2,老衰,37.1,肺炎及び気管支炎,31.6,高血圧性疾患,17,全結核,16.1,自殺,14.5,肝硬変,11.8
1970,脳血管疾患,175.8,悪性新生物,116.3,心疾患,86.7,不慮の事故,42.5,老衰,38.1,肺炎及び気管支炎,34.1,高血圧性疾患,17.7,全結核,15.4,自殺,15.3,肝硬変,12.5
1971,脳血管疾患,169.6,悪性新生物,117.7,心疾患,82,不慮の事故,40.7,老衰,34,肺炎及び気管支炎,28.4,高血圧性疾患,16.7,自殺,15.6,全結核,13,肝硬変,12.5
1972,脳血管疾患,166.7,悪性新生物,120.4,心疾患,81.2,不慮の事故,40.1,老衰,30.8,肺炎及び気管支炎,28.1,自殺,17,高血圧性疾患,16.5,肝硬変,12.8,全結核,11.9
1973,脳血管疾患,166.9,悪性新生物,121.2,心疾患,87.3,不慮の事故,37.2,肺炎及び気管支炎,31.3,老衰,30.9,高血圧性疾患,17.5,自殺,17.4,肝硬変,13.2,全結核,11.1
1974,脳血管疾患,163,悪性新生物,122.2,心疾患,89.8,不慮の事故,33,肺炎及び気管支炎,32.6,老衰,29.7,高血圧性疾患,18.4,自殺,17.5,肝硬変,13.4,全結核,10.4
1975,脳血管疾患,156.7,悪性新生物,122.6,心疾患,89.2,肺炎及び気管支炎,33.7,不慮の事故,30.3,老衰,26.9,自殺,18,高血圧性疾患,17.8,肝硬変,13.6,全結核,9.5
1976,脳血管疾患,154.5,悪性新生物,125.3,心疾患,92.2,肺炎及び気管支炎,32.6,不慮の事故,28,老衰,26.4,高血圧性疾患,17.6,自殺,17.6,肝硬変,13.8,全結核,8.5
1977,脳血管疾患,149.8,悪性新生物,128.4,心疾患,91.2,肺炎及び気管支炎,28.6,不慮の事故,26.7,老衰,25,自殺,17.9,高血圧性疾患,17,肝硬変,13.6,糖尿病,8.4
1978,脳血管疾患,146.2,悪性新生物,131.3,心疾患,93.3,肺炎及び気管支炎,30.3,不慮の事故,26.2,老衰,24.4,自殺,17.6,高血圧性疾患,16.4,肝硬変,14,糖尿病,8.5
1979,脳血管疾患,137.7,悪性新生物,135.7,心疾患,96.9,肺炎及び気管支炎,28.5,老衰,25.5,不慮の事故及び有害作用,25.3,自殺,18,慢性肝疾患及び肝硬変,14.2,高血圧性疾患,14,腎炎，ネフローゼ症候群及びネフローゼ,8
1980,脳血管疾患,139.5,悪性新生物,139.1,心疾患,106.2,肺炎及び気管支炎,33.7,老衰,27.6,不慮の事故及び有害作用,25.1,自殺,17.7,慢性肝疾患及び肝硬変,14.2,高血圧性疾患,13.7,腎炎，ネフローゼ症候群及びネフローゼ,8.8
1981,悪性新生物,142,脳血管疾患,134.3,心疾患,107.5,肺炎及び気管支炎,33.7,老衰,25.5,不慮の事故及び有害作用,24.8,自殺,17.1,慢性肝疾患及び肝硬変,14.2,高血圧性疾患,13,腎炎，ネフローゼ症候群及びネフローゼ,9.1
1982,悪性新生物,144.2,脳血管疾患,125,心疾患,106.7,肺炎及び気管支炎,35,不慮の事故及び有害作用,24.7,老衰,23.3,自殺,17.5,慢性肝疾患及び肝硬変,14,高血圧性疾患,11.7,腎炎，ネフローゼ症候群及びネフローゼ,9.7
1983,悪性新生物,148.3,脳血管疾患,122.8,心疾患,111.3,肺炎及び気管支炎,39.3,不慮の事故及び有害作用,25,老衰,24.7,自殺,21,慢性肝疾患及び肝硬変,14.1,高血圧性疾患,11.3,腎炎，ネフローゼ症候群及びネフローゼ,10.3
1984,悪性新生物,152.5,脳血管疾患,117.2,心疾患,113.9,肺炎及び気管支炎,37.6,不慮の事故及び有害作用,24.6,老衰,24.1,自殺,20.4,慢性肝疾患及び肝硬変,14.2,高血圧性疾患,10.9,腎炎，ネフローゼ症候群及びネフローゼ,10.6
1985,悪性新生物,156.1,心疾患,117.3,脳血管疾患,112.2,肺炎及び気管支炎,42.7,不慮の事故及び有害作用,24.6,老衰,23.1,自殺,19.4,慢性肝疾患及び肝硬変,14.3,腎炎，ネフローゼ症候群及びネフローゼ,11.2,高血圧性疾患,10.6
1986,悪性新生物,158.5,心疾患,117.9,脳血管疾患,106.9,肺炎及び気管支炎,43.9,不慮の事故及び有害作用,23.7,老衰,22.2,自殺,21.2,慢性肝疾患及び肝硬変,14,腎炎，ネフローゼ症候群及びネフローゼ,11.6,高血圧性疾患,9.7
1987,悪性新生物,164.2,心疾患,118.4,脳血管疾患,101.7,肺炎及び気管支炎,44.9,不慮の事故及び有害作用,23.2,老衰,20.8,自殺,19.6,慢性肝疾患及び肝硬変,13.7,腎炎，ネフローゼ症候群及びネフローゼ,11.8,高血圧性疾患,8.8
1988,悪性新生物,168.4,心疾患,129.4,脳血管疾患,105.5,肺炎及び気管支炎,51.6,不慮の事故及び有害作用,24.8,老衰,21.6,自殺,18.7,慢性肝疾患及び肝硬変,13.9,腎炎，ネフローゼ症候群及びネフローゼ,13,高血圧性疾患,8.4
1989,悪性新生物,173.6,心疾患,128.1,脳血管疾患,98.5,肺炎及び気管支炎,52.7,不慮の事故及び有害作用,25.4,老衰,19.4,自殺,17.3,慢性肝疾患及び肝硬変,13.6,腎炎，ネフローゼ症候群及びネフローゼ,13.4,高血圧性疾患,7.6
1990,悪性新生物,177.2,心疾患,134.8,脳血管疾患,99.4,肺炎及び気管支炎,60.7,不慮の事故及び有害作用,26.2,老衰,19.7,自殺,16.4,腎炎，ネフローゼ症候群及びネフローゼ,14,慢性肝疾患及び肝硬変,13.7,糖尿病,7.7
1991,悪性新生物,181.7,心疾患,137.2,脳血管疾患,96.2,肺炎及び気管支炎,62,不慮の事故及び有害作用,26.9,老衰,18.8,自殺,16.1,腎炎，ネフローゼ症候群及びネフローゼ,13.8,慢性肝疾患及び肝硬変,13.7,糖尿病,7.8
1992,悪性新生物,187.8,心疾患,142.2,脳血管疾患,95.6,肺炎及び気管支炎,65,不慮の事故及び有害作用,28.1,老衰,18.9,自殺,16.9,腎炎，ネフローゼ症候群及びネフローゼ,14.8,慢性肝疾患及び肝硬変,13.8,糖尿病,8
1993,悪性新生物,190.4,心疾患,145.6,脳血管疾患,96,肺炎及び気管支炎,70.6,不慮の事故及び有害作用,28,老衰,18.7,自殺,16.6,腎炎，ネフローゼ症候群及びネフローゼ,14.9,慢性肝疾患及び肝硬変,13.6,糖尿病,8.3
1994,悪性新生物,196.4,心疾患,128.6,脳血管疾患,96.9,肺炎及び気管支炎,72.4,不慮の事故及び有害作用,29.1,老衰,18.9,自殺,16.9,腎炎，ネフローゼ症候群及びネフローゼ,15.1,慢性肝疾患及び肝硬変,13.3,糖尿病,8.8
1995,悪性新生物,211.6,脳血管疾患,117.9,心疾患,112,肺炎,64.1,不慮の事故,36.5,老衰,17.3,自殺,17.2,肝疾患,13.7,腎不全,13,糖尿病,11.4
1996,悪性新生物,217.5,脳血管疾患,112.6,心疾患,110.8,肺炎,56.9,不慮の事故,31.4,自殺,17.8,老衰,16.7,肝疾患,13.2,腎不全,13,糖尿病,10.3
1997,悪性新生物,220.4,心疾患,112.2,脳血管疾患,111,肺炎,63.1,不慮の事故,31.1,自殺,18.8,老衰,17.2,腎不全,13.3,肝疾患,13.3,糖尿病,9.9
1998,悪性新生物,226.7,心疾患,114.3,脳血管疾患,110,肺炎,63.8,不慮の事故,31.1,自殺,25.4,老衰,17.1,腎不全,13.3,肝疾患,12.9,糖尿病,10
1999,悪性新生物,231.6,心疾患,120.4,脳血管疾患,110.8,肺炎,74.9,不慮の事故,32,自殺,25,老衰,18.2,腎不全,14.1,肝疾患,13.2,慢性閉塞性肺疾患,10.4
2000,悪性新生物,235.2,心疾患,116.8,脳血管疾患,105.5,肺炎,69.2,不慮の事故,31.4,自殺,24.1,老衰,16.9,腎不全,13.7,肝疾患,12.8,慢性閉塞性肺疾患,10.2
2001,悪性新生物,238.8,心疾患,117.8,脳血管疾患,104.7,肺炎,67.8,不慮の事故,31.4,自殺,23.3,老衰,17.6,腎不全,14,肝疾患,12.6,慢性閉塞性肺疾患,10.4
2002,悪性新生物,241.7,心疾患,121,脳血管疾患,103.4,肺炎,69.4,不慮の事故,30.7,自殺,23.8,老衰,18,腎不全,14.4,肝疾患,12.3,慢性閉塞性肺疾患,10.3
2003,悪性新生物,245.4,心疾患,126.5,脳血管疾患,104.7,肺炎,75.3,不慮の事故,30.7,自殺,25.5,老衰,18.6,腎不全,14.9,肝疾患,12.5,慢性閉塞性肺疾患,10.8
2004,悪性新生物,253.9,心疾患,126.5,脳血管疾患,102.3,肺炎,75.7,不慮の事故,30.3,自殺,24,老衰,19.1,腎不全,15.2,肝疾患,12.6,慢性閉塞性肺疾患,10.7
2005,悪性新生物,258.3,心疾患,137.2,脳血管疾患,105.3,肺炎,85,不慮の事故,31.6,自殺,24.2,老衰,20.9,腎不全,16.3,肝疾患,13,慢性閉塞性肺疾患,11.4
2006,悪性新生物,261,心疾患,137.2,脳血管疾患,101.7,肺炎,85,不慮の事故,30.3,自殺,23.7,老衰,22,腎不全,16.8,肝疾患,12.9,慢性閉塞性肺疾患,11.4
2007,悪性新生物,266.9,心　疾　患,139.2,脳血管疾患,100.8,肺　　　炎,87.4,不慮の事故,30.1,自　　　殺,24.4,老　　　衰,24.4,腎　不　全,17.2,肝　疾　患,12.8,慢性閉塞性肺疾患,11.8
2008,悪性新生物,272.3,心　疾　患,144.4,脳血管疾患,100.9,肺　　　炎,91.6,不慮の事故,30.3,老　　　衰,28.6,自　　　殺,24,腎　不　全,17.9,肝　疾　患,12.9,慢性閉塞性肺疾患,12.3
2009,悪性新生物,273.5,心　疾　患,143.7,脳血管疾患,97.2,肺　　　炎,89,老　　　衰,30.7,不慮の事故,30,自　　　殺,24.4,腎　不　全,18.1,肝　疾　患,12.7,慢性閉塞性肺疾患,12.2
2010,悪性新生物,279.7,心　疾　患,149.8,脳血管疾患,97.7,肺　　　炎,94.1,老　　　衰,35.9,不慮の事故,32.2,自　　　殺,23.4,腎　不　全,18.8,慢性閉塞性肺疾患,12.9,肝　疾　患,12.8
2011,悪性新生物,283.2,心　疾　患,154.5,肺　　　炎,98.9,脳血管疾患,98.2,不慮の事故,47.1,老　　　衰,41.4,自　　　殺,22.9,腎　不　全,19.4,慢性閉塞性肺疾患,13.2,肝　疾　患,13
2012,悪性新生物,286.6,心　疾　患,157.9,肺　　　炎,98.4,脳血管疾患,96.5,老　　　衰,48.2,不慮の事故,32.6,自　　　殺,21,腎　不　全,19.9,慢性閉塞性肺疾患,13,肝　疾　患,12.7
2013,悪性新生物,290.3,心　疾　患,156.5,肺　　　炎,97.8,脳血管疾患,94.1,老　　　衰,55.5,不慮の事故,31.5,自　　　殺,20.7,腎　不　全,20,慢性閉塞性肺疾患,13.1,大動脈瘤及び解離,12.8
2014,悪性新生物,293.5,心　疾　患,157,肺　　　炎,95.4,脳血管疾患,91.1,老　　　衰,60.1,不慮の事故,31.1,腎　不　全,19.8,自　　　殺,19.5,大動脈瘤及び解離,13.1,慢性閉塞性肺疾患,12.9
2015,悪性新生物,295.5,心　疾　患,156.5,肺　　　炎,96.5,脳血管疾患,89.4,老　　　衰,67.7,不慮の事故,30.6,腎　不　全,19.6,自　　　殺,18.5,大動脈瘤及び解離,13.5,慢性閉塞性肺疾患,12.6
2016,悪性新生物,298.3,心　疾　患,158.4,肺　　　炎,95.4,脳血管疾患,87.4,老　　　衰,74.2,不慮の事故,30.6,腎　不　全,19.7,自　　　殺,16.8,大動脈瘤及び解離,14.5,肝　疾　患,12.6
